year,Base case cost,Modeled transmission and interties
2021,1428061.88041,3252223.79492
2022,1472247.48599,3291982.56653
2023,1502666.20822,3315771.99863
2024,1528536.71729,3334579.96689
2025,1559391.07225,3359829.30736
2026,1594762.52375,3390832.53733
2027,1625834.69507,3417184.43003
2028,1652332.72272,3438486.90954
2029,1688299.09443,3471483.9405
2030,1710563.77952,3488589.05808
2031,1747032.46243,3523022.54517
2032,1788073.80728,3563218.9785
2033,1824816.61283,3598718.70694
2034,1866723.29616,3645983.62111
2035,1894255.58111,3666024.82056
2036,1936457.1315,3714357.89798
2037,1964825.12006,3736193.02387
2038,2007333.39144,3780357.56099
2039,2040743.75478,3814061.98018
2040,2083890.65782,3870195.25155
