year,annotation,diesel generation efficiency
2002,,13.58
2003,,13.76
2004,,13.79
2005,,14.09
2006,,13.93
2007,,13.88
2008,,13.18
2009,,13.53
2010,,13.62
2011,,13.46
2012,,13.38
2013,,13.32
2014,,13.69
2015,,13.48
2016,start of forecast,13.5
2017,,13.5
2018,,13.5
2019,,13.5
2020,,13.5
2021,,13.5
2022,,13.5
2023,,13.5
2024,,13.5
2025,,13.5
2026,,13.5
2027,,13.5
2028,,13.5
2029,,13.5
2030,,13.5
2031,,13.5
2032,,13.5
2033,,13.5
2034,,13.5
2035,,13.5
2036,,13.5
2037,,13.5
2038,,13.5
2039,,13.5
2040,,13.5
