year,Base case cost,Modeled non-residential ashp
2017,170901.178941,157627.73102
2018,190865.205588,172120.487357
2019,217483.907784,191444.162472
2020,230793.258882,201106.00003
2021,239666.159614,207547.225069
2022,247060.243558,212914.912601
2023,251496.693924,216135.52512
2024,255193.735895,218819.368886
2025,260369.594656,222576.750159
2026,266284.86181,226870.900184
2027,270721.312176,230091.512704
2028,275157.762542,233312.125223
2029,280333.621303,237069.506495
2030,283291.25488,239216.581508
2031,289206.522035,243510.731534
