year,Base case cost,Modeled residential ashp
2017,17638.4896154,24984.3867542
2018,20958.3864062,27352.2095294
2019,23881.3133196,29005.7044222
2020,25342.7767763,29832.4518686
2021,26317.0857475,30383.6168329
2022,27129.0098901,30842.9209697
2023,27616.1643757,31118.5034519
2024,26338.2153851,29664.2444584
2025,26872.4090727,29951.604142
2026,27482.9161442,30280.0152089
2027,27940.7964479,30526.3235091
2028,28398.6767516,30772.6318094
2029,27083.0723464,29210.1934002
2030,27368.8097609,29354.8828124
2031,26031.9381333,27735.9151802
