year,Base case cost,Modeled transmission and interties
2021,856427.323297,2066536.16213
2022,883123.943037,2078035.04944
2023,902022.151796,2080039.14589
2024,918878.556918,2081635.57538
2025,937990.909685,2086084.03716
2026,963106.73025,2095991.77744
2027,983002.790605,2100585.61372
2028,1003023.7683,2105668.00812
2029,1025883.64122,2115639.48945
2030,1040716.08803,2115766.14391
2031,1067150.97621,2128823.31922
2032,1093184.34436,2141775.3338
2033,1116627.16486,2155185.43411
2034,1146366.41406,2171293.54992
2035,1165196.2157,2178810.93422
2036,1192523.37058,2194367.87754
2037,1211626.80068,2202771.38877
2038,1239298.96535,2220778.65713
2039,1264332.9948,2233158.45729
2040,1295892.46806,2255917.30436
