year,Base case cost,Scammon bay wind feasibility,Modeled wind power
2019,386054.059955,551622.529135,589431.544637
2020,409693.179127,566522.616548,599427.00831
2021,428213.661649,577348.920939,606151.032961
2022,441561.971518,584045.283994,609546.548431
2023,451011.075898,587648.870978,610458.970201
2024,459439.278459,590569.001847,610915.029717
2025,468995.454843,594485.627874,612212.110382
2026,481553.365125,601036.883045,615796.657529
2027,491501.395302,605541.788661,617750.31991
2028,501511.884149,610203.926423,619894.169528
2029,512941.820608,616144.823346,623158.101827
2030,520358.044017,618862.113753,623802.434107
2031,533575.488104,626535.925218,628670.541963
2032,546592.172182,634095.17282,633454.058497
2033,558313.582431,640676.563591,637479.847585
2034,573183.207029,650021.889586,643916.437278
2035,582598.107851,654925.732776,646702.895659
2036,596261.685289,663456.924119,652571.384024
2037,605813.40034,668652.534068,655703.490006
2038,619649.482673,677507.551151,661948.422124
