year,Base case cost,Elim wind feasibility,Modeled wind power
2019,242508.196773,398921.359925,433341.118202
2020,258079.490525,411266.67658,445521.26483
2021,269190.200057,420159.526859,454300.560715
2022,277845.569074,427201.907327,461260.35617
2023,284496.428639,432643.025482,466639.535564
2024,290263.982391,437402.461391,471347.35584
2025,296301.74108,442432.102237,476325.381052
2026,304017.266838,448736.263015,482557.279943
2027,311088.11886,454597.373626,488356.451794
2028,317267.58829,459768.725214,493476.187748
2029,324439.767163,465731.162676,499376.68645
2030,329758.69261,470243.593848,503847.825115
2031,337985.258139,477058.794398,510590.763778
2032,346009.169967,483671.341246,517131.048739
2033,354084.479472,490335.285771,523722.731377
2034,362211.186655,497050.627975,530365.811694
2035,368723.27249,502554.595966,535818.164052
2036,377927.128159,510145.463087,543326.44616
2037,383555.908179,514967.748834,548107.439399
2038,392868.433225,522667.285332,555724.390883
