year,Base case cost,Modeled residential ashp
2017,545425.586127,707211.529548
2018,588306.191191,744346.388895
2019,643823.669386,792049.652915
2020,670997.661543,815546.367814
2021,699430.485146,841451.063301
2022,724486.754781,864668.694307
2023,739846.919266,878649.87982
2024,761513.227386,899167.038797
2025,783447.68644,919952.348707
2026,808482.326094,943378.179561
2027,824713.981113,958230.855607
2028,847466.300513,979834.025864
2029,871969.823413,1002958.56979
2030,893775.392113,1023844.81918
2031,920405.529821,1048866.14808
