year,annotation,consumption,consumption residential,consumption non-residential
2003,,1171858.0,651722.0,520136.0
2004,,1193879.0,657430.0,536449.0
2005,,1112833.0,626875.0,485958.0
2006,,1194132.0,648462.0,545670.0
2007,,1152294.0,589131.0,563163.0
2008,,1127404.0,588073.0,539331.0
2009,,1163588.0,625106.0,538482.0
2010,,1332460.0,645648.0,686812.0
2011,,1474289.0,653356.0,820933.0
2012,,1360817.0,624084.0,736733.0
2013,,1288607.0,613223.0,675384.0
2014,,1247691.0,607219.0,640472.0
2015,,1314968.0,626441.0,688527.0
2016,start of forecast,1306580.0,638452.0,668128.0
2017,,1309619.0,641491.0,668128.0
2018,,1314039.0,645912.0,668128.0
2019,,1317436.0,649309.0,668128.0
2020,,1320692.0,652565.0,668128.0
2021,,1323597.0,655470.0,668128.0
2022,,1326136.0,658009.0,668128.0
2023,,1329350.0,661222.0,668128.0
2024,,1331938.0,663810.0,668128.0
2025,,1334703.0,666576.0,668128.0
2026,,1337970.0,669842.0,668128.0
2027,,1340830.0,672702.0,668128.0
2028,,1344413.0,676285.0,668128.0
2029,,1347036.0,678908.0,668128.0
2030,,1350142.0,682014.0,668128.0
2031,,1353145.0,685017.0,668128.0
2032,,1356435.0,688307.0,668128.0
2033,,1359487.0,691360.0,668128.0
2034,,1362529.0,694401.0,668128.0
2035,,1365417.0,697289.0,668128.0
2036,,1369372.0,701244.0,668128.0
2037,,1372666.0,704539.0,668128.0
2038,,1375928.0,707801.0,668128.0
2039,,1379713.0,711586.0,668128.0
2040,,1383479.0,715351.0,668128.0
