year,Base case cost,Modeled residential ashp
2017,33823.9650226,-12646.6837403
2018,37050.8158431,-31618.3344436
2019,41476.2112539,-56719.9858032
2020,42824.304151,-71215.7449625
2021,44270.2430524,-81018.4179017
2022,44439.004841,-89775.9210632
2023,45235.9244655,-96152.0262927
2024,45855.7508401,-101521.063949
2025,45604.6420989,-108281.766297
2026,46558.5848529,-115495.091317
2027,46343.1106012,-122696.991082
2028,46937.3931863,-127909.346596
2029,46759.3779805,-135554.838926
2030,47174.7427593,-139725.441848
2031,48088.5452727,-146764.192322
