year,Base case cost,Modeled non-residential ashp
2017,17567.7700178,8381.40100349
2018,19243.75842,6051.53531738
2019,21542.2568002,2999.39080773
2020,22691.5059903,1304.65961812
2021,23457.672117,67.7349222199
2022,24032.2967121,-936.426226803
2023,24463.2651584,-1764.22249027
2024,24798.4628388,-2472.04823291
2025,25181.5459022,-3228.72007407
2026,25708.2851143,-4146.83722302
2027,26139.2535606,-4945.50193888
2028,26474.451241,-5624.87890266
2029,26953.3050702,-6466.19526592
2030,27192.7319849,-7019.9019007
2031,27719.471197,-7904.49817016
