year,Base case cost,Modeled non-residential ashp
2017,9013662.79406,9122390.77661
2018,10109433.63,10044947.32
2019,11610230.942,11307574.9798
2020,12311038.72,11894710.8784
2021,12779306.454,12287197.3594
2022,13158745.1456,12601680.6913
2023,13357635.4739,12762680.3931
2024,13560623.6979,12927777.9907
2025,13745977.2094,13075240.8756
2026,13985024.1984,13265571.3449
2027,14182549.8194,13419793.3928
2028,14344539.3984,13543892.3452
2029,14569890.7095,13720527.1366
2030,14649747.8025,13773319.4963
2031,14871445.3956,13940887.6231
