year,Base case cost,Modeled transmission and interties
2021,1338966.61216,2587670.04404
2022,1388735.37309,2648298.82251
2023,1430291.98615,2694892.69115
2024,1467957.70848,2737390.02176
2025,1511153.83639,2786667.41082
2026,1559680.79254,2842546.36872
2027,1604506.80583,2894508.41053
2028,1645295.66091,2942087.24041
2029,1696586.18666,3002318.6684
2030,1734507.05776,3047384.62629
2031,1787671.54799,3110540.24841
2032,1846472.2453,3180550.07802
2033,1901765.63007,3246915.34306
2034,1963135.57854,3326328.12153
2035,2010813.36332,3379018.588
2036,2074740.01745,3462314.97663
2037,2124997.52297,3518746.22154
2038,2186663.21931,3600405.33137
2039,2244202.5811,3671826.76685
2040,2318915.8747,3769551.62941
