year,Base case cost,Modeled residential energy efficiency
2017,474485.208483,493845.601582
2018,501392.197476,510740.208963
2019,538714.795113,535200.187477
2020,551234.147204,540246.867863
2021,563257.533781,546550.209029
2022,566767.665846,545122.01837
2023,573564.939982,547761.414519
2024,572597.924213,543173.318745
2025,579321.96587,545842.264655
2026,580665.922345,542938.318176
2027,581022.908653,539338.229524
2028,579607.343948,534497.681522
2029,586924.731194,537709.074963
2030,584513.042264,532206.090443
2031,585983.487271,529417.292289
2032,586485.270232,525945.244651
2033,587598.706903,522884.457644
2034,588529.062374,519681.610599
2035,587001.980644,514788.582306
2036,594583.167322,518315.747035
