year,Base case cost,Modeled transmission and interties
2021,451998.923847,1548803.47505
2022,466904.829324,1552693.58902
2023,478232.489463,1552716.79436
2024,486724.16838,1549635.27782
2025,497923.18912,1548646.14099
2026,510810.786793,1551473.87672
2027,522741.721353,1553522.71183
2028,532071.77428,1552773.58488
2029,545231.436888,1556814.46344
2030,554409.192597,1554919.7783
2031,567740.374403,1559717.04429
2032,581166.18749,1564896.49839
2033,595743.101402,1570154.48734
2034,609358.177053,1577578.8382
2035,620953.466286,1579947.95498
2036,636490.000539,1587181.91783
2037,646195.621365,1590706.0531
2038,661590.948003,1598178.28738
2039,674618.274678,1604642.4142
2040,692001.597537,1614963.60963
