year,Base case cost,Modeled residential ashp
2017,827437.964137,936574.823914
2018,884062.511852,979224.656872
2019,966799.233062,1045594.29023
2020,1011027.93488,1078744.43435
2021,1040675.5629,1098639.28856
2022,1065063.64138,1114130.84437
2023,1090384.19426,1131407.43133
2024,1105868.44289,1139463.78814
2025,1125233.26136,1151081.76631
2026,1146639.44969,1164651.60004
2027,1172857.9415,1183406.6126
2028,1195460.41271,1199148.07356
2029,1217490.09088,1213751.63179
2030,1233786.1189,1223450.55012
2031,1262992.64148,1245488.66816
