year,Base case diesel consumed,Modeled transmission and interties
2021,130635.527123,0.0
2022,131153.041945,0.0
2023,131744.487455,0.0
2024,132262.002277,0.0
2025,132779.517099,0.0
2026,133370.962609,0.0
2027,134036.338808,0.0
2028,134701.715008,0.0
2029,135293.160518,0.0
2030,135884.606029,0.0
2031,136476.051539,0.0
2032,137067.49705,0.0
2033,137585.011871,0.0
2034,138176.457382,0.0
2035,138915.76427,0.0
2036,139581.140469,0.0
2037,140172.585979,0.0
2038,140764.03149,0.0
2039,141429.407689,0.0
2040,142094.783888,0.0
