year,Base case cost,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,108446.683859,5373240.52307,17722135.0324,134981.575843
2022,111033.881088,5266129.72257,17377070.2929,135986.793421
2023,112758.679241,5161978.52402,17040369.6725,136345.409601
2024,114267.877625,5060366.50539,16711620.8988,136559.493912
2025,115992.675778,4960995.41199,16390490.5785,136963.588374
2026,118148.673469,4863689.10444,16076724.0284,137724.707
2027,119873.471621,4768876.68201,15770442.7277,138172.173002
2028,121382.670005,4676384.56256,15471400.3228,138473.024722
2029,123323.067927,4585798.83669,15179205.7548,139129.393652
2030,124616.666542,4497673.09953,14894066.9671,139303.097645
2031,126557.064464,4411233.4576,14615377.4935,139998.912731
2032,128713.062155,4326673.47515,14343129.7175,140881.300857
2033,130869.059846,4244067.05438,14077245.304,141782.275317
2034,133240.657306,4163247.62474,13817500.7384,142868.941163
2035,134534.25592,4084895.2055,13564196.709,143135.629241
2036,136905.853381,4007758.23732,13316447.0741,144257.330304
2037,138199.451995,3933001.97307,13074856.8482,144558.232472
2038,140571.049455,3859376.8753,12838546.4753,145713.345735
2039,142295.847608,3787808.59208,12607978.6182,146381.958232
2040,144667.445068,3717532.67921,12382577.5899,147568.935893
2041,144667.445068,3650201.40069,12163258.5214,146928.341025
2042,144667.445068,3584448.19743,11949079.7384,146302.760084
2043,144667.445068,3520236.08836,11739920.782,145691.84123
2044,144667.445068,3457528.95003,11535663.9868,145095.240781
2045,144667.445068,3396291.5114,11336194.4639,144512.623166
2046,144667.445068,3336489.32263,11141399.9995,143943.660627
2047,144667.445068,3278088.74993,10951171.0378,143388.033168
2048,144667.445068,3221056.93916,10765400.5625,142845.428214
2049,144667.445068,3165361.81059,10583984.0799,142315.540556
2050,144667.445068,3110972.03819,10406819.5513,141798.072154
