year,Base case cost,Modeled non-residential ashp
2017,524139.773376,587850.365384
2018,573234.230535,636591.222664
2019,640511.819975,703384.249307
2020,667831.483385,730455.083172
2021,681955.678542,744422.122828
2022,699749.414443,762084.895811
2023,702652.213129,764909.116746
2024,705321.373986,767499.699852
2025,715763.977699,777863.725814
2026,721524.610081,783519.587862
2027,725272.231045,787175.534783
2028,727065.250048,788889.976036
2029,730287.1859,792020.237845
2030,729950.374572,791617.945057
2031,734289.710168,795852.510319
