year,Base case cost,Modeled transmission and interties
2021,200987.272717,1189587.16241
2022,207938.186875,1181203.72772
2023,213632.543188,1172107.64013
2024,219156.245905,1162779.92905
2025,225632.227886,1154743.41517
2026,232676.51854,1147485.1599
2027,238998.751291,1140492.42106
2028,244821.097801,1132864.6354
2029,251879.877912,1126705.20567
2030,256907.719236,1118957.00109
2031,265076.552691,1114518.06745
2032,272630.389225,1110266.7121
2033,280643.86351,1106253.37946
2034,288758.763988,1103192.58057
2035,295122.855168,1098264.08952
2036,304046.750289,1095966.96853
2037,311363.925703,1092600.53104
2038,320680.646082,1091926.47846
2039,328017.140772,1089590.85058
2040,339285.912898,1090732.1267
