year,Base case cost,Modeled non-residential ashp
2017,311869.055527,440842.261848
2018,331884.865682,458564.920884
2019,359648.731381,483721.468111
2020,372562.157287,494724.458253
2021,381601.555422,502058.099757
2022,388058.268375,506955.185237
2023,392577.967442,510031.762248
2024,396451.995214,512520.657314
2025,400971.694281,515654.713313
2026,406782.735939,520050.026873
2027,411302.435007,523238.899109
2028,415176.462778,525837.457482
2029,420341.833141,529695.368774
2030,423570.189618,531728.216518
2031,429381.231276,536252.745111
