year,Base case cost,Modeled residential ashp
2017,350335.130552,767903.39701
2018,379255.192371,788616.35111
2019,417955.682183,817933.283289
2020,447411.167712,840590.505573
2021,465666.147382,852801.469277
2022,481069.972444,862697.863085
2023,494285.35138,870832.347682
2024,506850.541876,878525.636469
2025,520403.961961,887198.660241
2026,535833.680882,897629.611618
2027,557738.159763,914844.904011
2028,571042.032771,923659.40251
2029,586297.324869,934300.305106
2030,599013.60965,942812.848287
2031,615557.612357,954808.810922
