year,Base case cost,Modeled solar power (pv)
2016,212701.403881,221987.384342
2017,252833.744236,261435.106562
2018,283334.322906,291433.139031
2019,324269.310068,331690.317638
2020,343532.833438,350665.512688
2021,357507.025315,364453.664893
2022,367147.6642,373980.580943
2023,374378.143364,381140.602731
2024,380001.84938,386722.53567
2025,386428.94197,393095.489781
2026,395266.194281,401839.842972
2027,402867.296532,409376.454053
2028,408496.180915,414968.594715
2029,415733.317979,422143.950124
2030,420944.973975,427334.045839
2031,429798.501152,436102.675212
2032,438652.028329,444873.112466
2033,446700.6894,452853.08973
2034,456778.53037,462838.764595
2035,462417.771486,468449.881866
