year,Base case cost,Modeled residential ashp
2017,367933.571987,653504.958715
2018,395382.87089,677238.948279
2019,433366.111805,711993.587159
2020,451196.735099,725982.57877
2021,463647.406197,734504.219259
2022,472946.265649,739863.670957
2023,479378.882174,742354.499051
2024,489290.72409,748379.25128
2025,495737.575676,751076.10255
2026,503547.034091,755277.097382
2027,510008.287568,758173.413576
2028,515399.805436,760051.042887
2029,522662.965315,763953.274403
2030,532144.877232,770059.532104
2031,540205.145283,774952.509042
