year,Base case cost,Modeled transmission and interties
2021,357507.025315,2281032.06283
2022,367147.6642,2265245.64412
2023,374378.143364,2246525.92012
2024,380001.84938,2227427.20153
2025,386428.94197,2210664.82055
2026,395266.194281,2195555.91724
2027,402496.673445,2179196.49436
2028,408496.180915,2162827.62699
2029,415733.317979,2148404.08369
2030,420558.076021,2131778.52703
2031,429798.501152,2119839.89887
2032,438652.028329,2108800.50643
2033,446700.6894,2097343.30025
2034,456778.53037,2087833.09151
2035,462417.771486,2074600.11549
2036,471279.436096,2065476.57534
2037,476918.677212,2053152.49872
2038,485780.341822,2044916.55558
2039,493030.794685,2034452.23286
2040,503503.671043,2028055.7282
