year,Base case cost,Kwethluk wind feasibility,Modeled wind power
2019,384935.773425,525446.640363,599728.707958
2020,410137.022226,543852.112113,616681.687657
2021,430017.469936,557800.310945,629164.420356
2022,443883.067158,566595.162005,636479.919355
2023,455304.467184,573339.077165,641760.83449
2024,464228.90174,577977.356105,644951.595647
2025,474668.225532,584053.703791,649626.187031
2026,487814.12211,592602.540501,656828.575752
2027,499689.182726,600266.343,663158.924074
2028,509556.850202,606151.375946,667733.081806
2029,522396.397627,614613.512418,674947.654331
2030,530919.206976,619450.406776,678526.908644
2031,544264.450372,628556.225822,686447.284117
2032,558056.758322,638175.686756,694911.274019
2033,572315.91893,648327.017203,703936.40346
2034,587563.751807,659375.091963,713897.237442
2035,598071.234621,666366.506248,719787.820489
2036,613556.524737,677774.594942,730163.842369
2037,625735.002935,686556.688923,737898.985955
2038,640246.278636,697263.063603,747615.535705
