year,Base case cost,Modeled residential ashp
2017,6443.2463373,64090.2460931
2018,6961.359864,63880.966625
2019,6491.25938638,62795.9971547
2020,6782.2955568,62333.3459803
2021,7000.57268461,61784.0290609
2022,7146.09076982,61147.5558531
2023,7262.50523799,60488.0050945
2024,7349.81608912,59804.908865
2025,7466.23055729,59183.8873597
2026,7597.19683398,58602.9751901
2027,7699.05949363,57997.1788507
2028,6343.51447416,55951.7036461
2029,6438.17980337,55380.7196226
2030,6497.34563413,54770.2412791
2031,6615.67729565,54270.2773068
