year,Base case diesel consumed,Modeled transmission and interties
2021,43648.1258097,0.0
2022,43740.9941625,0.0
2023,43833.8625153,0.0
2024,44019.5992209,0.0
2025,44112.4675736,0.0
2026,44298.2042792,0.0
2027,44391.072632,0.0
2028,44669.6776904,0.0
2029,44762.5460431,0.0
2030,44948.2827487,0.0
2031,45134.0194543,0.0
2032,45226.8878071,0.0
2033,45412.6245127,0.0
2034,45598.3612182,0.0
2035,45784.0979238,0.0
2036,45969.8346294,0.0
2037,46155.5713349,0.0
2038,46248.4396877,0.0
2039,46527.0447461,0.0
2040,46619.9130989,0.0
