year,Base case cost,Modeled residential ashp
2017,572578.049035,905289.756104
2018,613032.189184,939594.78797
2019,668911.809484,989071.498793
2020,698144.156287,1012711.26373
2021,721621.086436,1030869.62587
2022,740336.746736,1044506.60491
2023,749041.322782,1048338.32365
2024,761642.152627,1056238.12015
2025,776914.562319,1066853.23426
2026,793630.722011,1078984.72249
2027,809195.2514,1090097.53194
2028,823513.788963,1100094.92064
2029,847525.072606,1119819.15404
2030,859550.101842,1127777.25678
2031,878451.480926,1142547.17307
