year,Base case cost,Modeled transmission and interties
2021,154950.846624,1937494.99335
2022,159654.628693,1914798.42587
2023,163061.968557,1891945.7325
2024,165953.889063,1869167.93289
2025,169391.875483,1847516.6149
2026,173648.960775,1826703.8977
2027,177120.379802,1806201.02386
2028,180912.194646,1786393.12098
2029,184869.315158,1766990.767
2030,187434.339062,1747594.97839
2031,192270.922875,1729520.21619
2032,196284.693083,1712073.18426
2033,201177.926591,1695413.31095
2034,206104.592706,1679246.81325
2035,209691.168491,1662748.21918
2036,214679.127719,1647532.36255
2037,217854.296701,1631956.52767
2038,222454.994898,1617329.59528
2039,227051.978361,1603368.95676
2040,232167.167232,1590016.08817
