year,Base case cost,Modeled residential ashp
2017,41637.950626,440311.667238
2018,43790.0569202,437170.924755
2019,48179.9873762,436771.225185
2020,49162.7094859,432484.347763
2021,49368.3035642,427361.66416
2022,50500.3984076,423234.22762
2023,49950.6135936,417425.194799
2024,49260.4328715,411570.961792
2025,50014.8382687,407351.495788
2026,49593.6012981,402110.98158
2027,48924.1962198,396676.053876
2028,49538.205709,392640.825293
2029,48919.4813405,387519.083083
2030,48068.9007187,382211.061225
2031,48844.0817597,378735.081395
