year,annotation,diesel generation efficiency
2002,,10.47
2003,,8.37
2004,,11.36
2005,,10.91
2006,,10.21
2007,,10.54
2008,,10.58
2009,,10.82
2010,,10.61
2011,,10.91
2012,,11.44
2013,,11.68
2016,start of forecast,11.35
2017,,11.35
2018,,11.35
2019,,11.35
2020,,11.35
2021,,11.35
2022,,11.35
2023,,11.35
2024,,11.35
2025,,11.35
2026,,11.35
2027,,11.35
2028,,11.35
2029,,11.35
2030,,11.35
2031,,11.35
2032,,11.35
2033,,11.35
2034,,11.35
2035,,11.35
2036,,11.35
2037,,11.35
2038,,11.35
2039,,11.35
2040,,11.35
