year,Base case cost,Modeled non-residential ashp
2017,30669.5509894,87190.9590513
2018,32697.7360322,83891.0997222
2019,35524.9030617,79674.8427887
2020,36815.5662708,77283.3407534
2021,37737.468563,75345.2720073
2022,38413.530244,73715.857409
2023,38843.7513137,72394.6268726
2024,39273.9723834,71092.5257077
2025,39704.1934531,69809.1056187
2026,40257.3348284,68399.6310435
2027,40749.0160509,67080.120991
2028,41179.2371206,65850.1578767
2029,41670.9183431,64565.0362746
2030,41978.2191072,63512.9533819
2031,42592.8206353,62116.3293939
