year,Base case cost,Modeled transmission and interties
2021,1587240.75632,3120103.23874
2022,1630037.57485,3164241.87533
2023,1661297.29706,3197590.05304
2024,1687636.78701,3225697.21003
2025,1717532.01466,3256057.18115
2026,1746243.91351,3286661.49949
2027,1770248.37799,3312240.89222
2028,1788282.99901,3331456.27146
2029,1820405.41536,3364187.14849
2030,1836316.37098,3381143.46434
2031,1865791.75414,3412565.01454
2032,1895436.80048,3442640.86183
2033,1926870.49934,3474630.13489
2034,1955399.7946,3505038.68516
2035,1976919.69995,3527980.59352
2036,2008248.43769,3561376.75829
2037,2029794.22387,3582830.44105
2038,2062011.53658,3615660.26467
2039,2081387.647,3636317.20967
2040,2112358.36667,3669334.3196
