year,Base case cost,Modeled transmission and interties
2021,671711.70968,2276168.13626
2022,697941.53875,2303343.09998
2023,717441.365376,2325173.39857
2024,737190.012515,2345442.71377
2025,757187.480167,2366889.14568
2026,781100.908748,2392496.99245
2027,802840.11999,2415778.04816
2028,821107.692647,2435369.86165
2029,843999.179836,2460857.56363
2030,860799.007682,2478897.986
2031,885427.795238,2505258.09027
2032,912282.63774,2532992.86969
2033,936801.825784,2559211.85927
2034,963550.030924,2587799.58158
2035,983421.607245,2609095.9383
2036,1010717.80994,2638266.00687
2037,1030276.87955,2659213.97588
2038,1058106.26906,2688950.65162
2039,1079333.02853,2712698.61101
2040,1109746.89301,2745189.35077
