year,annotation,consumption,consumption residential,consumption non-residential
2003,,588069.0,227029.0,361040.0
2004,,566028.0,225107.0,340921.0
2005,,550359.0,215706.0,334653.0
2006,,555406.0,205359.0,350047.0
2007,,592195.0,198139.0,394056.0
2008,,617064.0,206206.0,410858.0
2009,,628656.0,210322.0,418334.0
2010,,615784.0,221832.0,393952.0
2011,,601469.0,216570.0,384899.0
2012,,634267.0,218494.0,415773.0
2013,,654588.0,210498.0,444090.0
2014,,564484.0,199879.0,364605.0
2015,,514104.0,204076.0,310028.0
2016,start of forecast,582671.0,209763.0,372908.0
2017,,582548.0,209641.0,372908.0
2018,,582417.0,209510.0,372908.0
2019,,582280.0,209373.0,372908.0
2020,,582136.0,209228.0,372908.0
2021,,581993.0,209086.0,372908.0
2022,,581863.0,208955.0,372908.0
2023,,581738.0,208830.0,372908.0
2024,,581607.0,208699.0,372908.0
2025,,581464.0,208556.0,372908.0
2026,,581294.0,208386.0,372908.0
2027,,581124.0,208216.0,372908.0
2028,,580944.0,208036.0,372908.0
2029,,580762.0,207854.0,372908.0
2030,,580565.0,207658.0,372908.0
2031,,580369.0,207461.0,372908.0
2032,,580189.0,207281.0,372908.0
2033,,580006.0,207099.0,372908.0
2034,,579814.0,206906.0,372908.0
2035,,579639.0,206731.0,372908.0
2036,,579465.0,206557.0,372908.0
2037,,579301.0,206394.0,372908.0
2038,,579145.0,206237.0,372908.0
2039,,578993.0,206085.0,372908.0
2040,,578843.0,205935.0,372908.0
