year,Base case cost,Modeled residential ashp
2017,662727.121679,919417.471392
2018,717025.2819,960372.461655
2019,782459.477866,1010159.71866
2020,816089.226265,1033421.50889
2021,849178.826334,1057402.41847
2022,870525.100931,1070672.77785
2023,887689.485832,1080567.60931
2024,903528.840733,1089494.31018
2025,927676.64065,1106636.96848
2026,948484.39692,1120120.9078
2027,973385.130639,1138268.66263
2028,990049.037517,1148524.38289
2029,1017124.48276,1168864.20452
2030,1030986.61979,1176999.25157
2031,1060062.50138,1199345.72438
