year,Base case cost,Modeled non-residential ashp
2017,884095.964695,992562.609274
2018,954878.085983,1063064.95388
2019,1038341.68154,1146155.51386
2020,1093582.93516,1201220.61179
2021,1132513.73613,1240027.06758
2022,1173616.85569,1281036.92824
2023,1201421.16179,1308779.06174
2024,1235240.69356,1342546.78302
2025,1271625.24112,1378869.15798
2026,1304908.175,1412069.19507
2027,1342258.06592,1449356.9134
2028,1377820.57876,1484867.61574
2029,1418405.8628,1525380.36508
2030,1444217.50325,1551150.55713
2031,1485714.50046,1592575.01965
