year,annotation,consumption,consumption residential,consumption non-residential
2003,,1676384.0,789122.0,887262.0
2004,,1584514.0,768769.0,815745.0
2005,,1565755.0,741543.0,824212.0
2006,,1527200.0,704381.0,822819.0
2007,,1545597.0,724559.0,821038.0
2008,,1587780.0,722617.0,865163.0
2009,,1565111.0,738068.0,827043.0
2010,,1597656.0,749402.0,848254.0
2011,,1580479.0,731022.0,849457.0
2012,,1592514.0,745685.0,846829.0
2013,,1619950.0,789444.0,830506.0
2014,start of forecast,1610104.0,767840.0,842264.0
2015,,1615797.0,773533.0,842264.0
2016,,1621683.0,779419.0,842264.0
2017,,1627668.0,785404.0,842264.0
2018,,1633857.0,791593.0,842264.0
2019,,1640295.0,798031.0,842264.0
2020,,1646844.0,804580.0,842264.0
2021,,1653376.0,811112.0,842264.0
2022,,1659996.0,817732.0,842264.0
2023,,1666679.0,824415.0,842264.0
2024,,1673526.0,831262.0,842264.0
2025,,1680436.0,838172.0,842264.0
2026,,1687432.0,845168.0,842264.0
2027,,1694370.0,852106.0,842264.0
2028,,1701263.0,858999.0,842264.0
2029,,1709058.0,866794.0,842264.0
2030,,1716653.0,874389.0,842264.0
2031,,1723931.0,881667.0,842264.0
2032,,1730404.0,888140.0,842264.0
2033,,1736588.0,894324.0,842264.0
2034,,1742717.0,900453.0,842264.0
2035,,1748985.0,906721.0,842264.0
2036,,1755515.0,913251.0,842264.0
2037,,1762272.0,920008.0,842264.0
2038,,1768836.0,926572.0,842264.0
2039,,1774931.0,932667.0,842264.0
2040,,1780625.0,938361.0,842264.0
