year,Base case cost,Modeled residential ashp
2017,1994.72012755,547205.266355
2018,2276.61353911,534386.733276
2019,2633.07467123,521900.756661
2020,2841.7836705,509656.244152
2021,2981.45559694,497655.772836
2022,3089.89714374,485923.763997
2023,3179.63818934,474459.521743
2024,3256.91223414,463259.501787
2025,3379.47541232,452361.953858
2026,3487.02805886,441700.396517
2027,3574.81128416,431280.503817
2028,3663.60055185,421107.272603
2029,3767.74919217,411182.711638
2030,3836.95767158,401473.956531
2031,3950.60945003,392018.66527
