year,Base case cost,Modeled residential ashp
2017,59204.1581508,326313.185525
2018,63622.0296832,322641.221878
2019,69615.4935321,319780.800887
2020,73152.3350611,316178.433155
2021,75880.7871851,312426.224503
2022,78273.6238352,308693.008645
2023,80314.1928386,304959.110814
2024,83405.3771882,302474.039002
2025,85373.5461844,298986.068788
2026,87775.3934507,295823.445025
2027,89932.5276648,292681.083034
2028,91833.8473781,289545.196354
2029,94181.7970516,286739.551975
2030,96125.6723181,283862.151892
2031,98527.2789934,281321.034554
