year,Base case cost,Modeled non-residential ashp
2017,1585772.91355,1706415.61459
2018,1695480.08087,1809650.08716
2019,1838256.23776,1944764.69594
2020,1917482.48465,2019035.68958
2021,1980355.82197,2077710.29211
2022,2033448.77886,2127081.27882
2023,2076418.89575,2166804.80104
2024,2108968.21814,2196303.21636
2025,2152718.99547,2236919.11807
2026,2200623.67235,2281603.6571
2027,2249046.48968,2326858.97667
2028,2290446.00701,2365420.73402
2029,2339854.28345,2411763.12058
2030,2378241.1799,2447550.6492
2031,2428566.95767,2494907.43791
