year,Base case cost,Modeled non-residential ashp
2017,801759.736038,995719.036876
2018,848019.443416,1033722.04682
2019,909699.053253,1085799.31806
2020,938825.535676,1108449.57271
2021,959385.405622,1123420.25191
2022,973091.985586,1132262.82997
2023,985085.243054,1139635.9091
2024,993651.855532,1143983.97985
2025,1003931.7905,1149965.73785
2026,1015925.04797,1157579.30462
2027,1026204.98295,1163715.76634
2028,1034771.59542,1168373.33154
2029,1046764.85289,1176210.8699
2030,1053618.14287,1179458.97444
2031,1065611.40034,1187437.21501
