year,Base case cost,Modeled residential ashp
2017,25347.8651766,-2528.74054574
2018,27286.2187304,865.632994818
2019,30086.0627526,6028.10732854
2020,31450.0893276,8278.1052536
2021,32383.3706683,9662.94849675
2022,33101.2793919,10621.1220654
2023,33603.8154985,11152.3422305
2024,33962.7698603,11402.5904273
2025,34465.3059669,11956.6301354
2026,35039.6329458,12667.9385907
2027,26089.2805679,3790.85222719
2028,26405.46367,4116.33387574
2029,26827.0411396,4706.3992558
2030,27037.8298743,4797.81907323
2031,27512.1045276,5534.84208044
