year,annotation,diesel generation efficiency
2002,,10.17
2003,,10.2
2004,,9.49
2005,,9.62
2006,,9.66
2007,,9.99
2008,,7.88
2009,,10.25
2010,,10.6
2011,,10.42
2012,,11.33
2013,,10.56
2014,,10.1
2015,,10.74
2016,start of forecast,10.47
2017,,10.47
2018,,10.47
2019,,10.47
2020,,10.47
2021,,10.47
2022,,10.47
2023,,10.47
2024,,10.47
2025,,10.47
2026,,10.47
2027,,10.47
2028,,10.47
2029,,10.47
2030,,10.47
2031,,10.47
2032,,10.47
2033,,10.47
2034,,10.47
2035,,10.47
2036,,10.47
2037,,10.47
2038,,10.47
2039,,10.47
2040,,10.47
