year,Base case cost,Modeled transmission and interties
2021,156677.654924,2046616.07656
2022,161788.474105,2019843.85662
2023,165246.635868,1992863.98604
2024,168187.983954,1966102.37393
2025,172044.503025,1940737.098
2026,176377.713456,1916045.49433
2027,180289.639539,1892012.20146
2028,184161.443304,1868508.95638
2029,188588.272478,1845750.67241
2030,191211.507893,1822877.00311
2031,196152.284866,1801330.41242
2032,201079.687732,1781003.75872
2033,206095.932876,1760993.58966
2034,211578.361152,1741822.79498
2035,215261.972135,1722184.14309
2036,220384.254836,1703828.75829
2037,223645.626178,1685245.51909
2038,229288.54373,1668221.85112
2039,233557.749509,1651031.31393
2040,239770.977164,1635398.7893
