year,Base case cost,Modeled residential ashp
2017,8010578.40763,6639127.09813
2018,8730088.44386,6629438.47436
2019,9787121.00361,6717841.94962
2020,10264061.6393,6673442.25762
2021,10602836.2749,6641144.0999
2022,10830660.0627,6573876.31418
2023,10951809.7404,6457313.77844
2024,11036026.4734,6342596.75157
2025,11164720.0085,6255412.68748
2026,11304400.1229,6125111.13928
2027,11424498.7901,6013892.85866
2028,11491918.2482,5888623.9336
2029,11717668.9738,5867473.74239
2030,11812731.9306,5809878.0465
2031,11995550.3414,5730073.65146
