year,Base case cost,Modeled residential ashp
2017,343669.372779,410015.712619
2018,369307.854122,434927.792642
2019,404780.72205,469801.52699
2020,421434.515344,485680.242651
2021,433057.741503,496497.608865
2022,441742.731687,504367.360564
2023,447744.942785,509547.313276
2024,458449.677774,519438.665167
2025,464489.443507,524696.797182
2026,471800.047715,531258.886139
2027,477858.751009,536575.294179
2028,482909.268388,540891.94709
2029,489713.795828,546999.286824
2030,493879.602232,550458.453407
2031,501370.93577,557295.363129
