year,Base case cost,Modeled non-residential ashp
2017,212891.556777,301646.444488
2018,230278.81801,318687.103352
2019,245583.543665,333525.708579
2020,256612.417491,344327.498094
2021,255469.348119,343029.055246
2022,261083.081667,348523.270736
2023,255998.961506,343355.487934
2024,249601.157748,336897.925147
2025,253263.45959,340476.564349
2026,248557.432281,335662.970786
2027,252086.078302,339107.954167
2028,244962.714375,331924.831211
2029,248842.703176,335709.205565
2030,251267.696177,338074.439536
2031,245568.797056,332267.974163
