year,Base case diesel consumed,Hooper bay wind farm construction,Modeled wind power
2019,250689.107064,218798.302118,205078.747663
2020,257627.795163,225736.990217,212017.435762
2021,264743.768062,232852.963116,219133.408661
2022,272040.296651,240149.491704,226429.93725
2023,279506.834093,247616.029147,233896.474692
2024,287074.433978,255183.629031,241464.074577
2025,294717.688852,262826.883906,249107.329451
2026,302501.481602,270610.676655,256891.122201
2027,310366.063674,278475.258728,264755.704273
2028,318304.677363,286413.872416,272694.317962
2029,326391.668882,294500.863935,280781.309481
2030,334629.65155,302738.846604,289019.292149
2031,343017.06353,311126.258583,297406.704129
2032,351479.187601,319588.382654,305868.8282
2033,360016.430964,328125.626017,314406.071563
2034,368778.240122,336887.435176,323167.880721
2035,377689.810787,345799.00584,332079.451386
2036,386826.084321,354935.279375,341215.72492
2037,396112.109687,364221.304741,350501.750286
2038,405622.798681,373731.993734,360012.43928
