year,Base case cost,Modeled transmission and interties
2021,944119.654503,2091455.27204
2022,994769.705928,2151070.71675
2023,1037756.536,2198369.06381
2024,1078578.37311,2246512.6234
2025,1120404.44944,2299425.73337
2026,1173885.99113,2358707.83766
2027,1221790.67273,2411349.13903
2028,1267280.98653,2464868.78407
2029,1317798.48736,2528175.30941
2030,1362260.598,2576592.5453
2031,1423398.62119,2644226.37155
2032,1482207.64815,2713178.21837
2033,1542487.46244,2788133.89334
2034,1608961.95737,2861726.8586
2035,1664790.46826,2927246.75933
2036,1735326.85243,3005302.41734
2037,1790345.08231,3074481.20041
2038,1865005.51222,3161930.46452
2039,1932640.01203,3236348.62779
2040,2015817.37895,3333608.97088
