year,Base case cost,Modeled non-residential ashp
2017,244593.273869,314274.840356
2018,265325.209035,334271.469381
2019,284584.387955,352550.240114
2020,301039.154932,368542.036557
2021,315140.817068,382316.895963
2022,327838.660827,394769.637675
2023,331289.85982,398057.435304
2024,341955.055183,408586.462863
2025,353356.340939,419824.347254
2026,357570.445418,423847.816808
2027,369226.47456,435340.444585
2028,380414.564243,446392.366465
2029,393021.204524,458808.37182
2030,395590.154786,461268.387839
2031,409093.77602,474554.140586
