year,Base case cost,Modeled residential ashp
2017,20927.9211002,87577.202504
2018,22344.1220458,84966.4478418
2019,25116.5837974,82771.6254099
2020,26004.5794784,80805.4342637
2021,26622.3156044,79117.1526845
2022,27085.6176989,77598.5099992
2023,27394.4857618,76248.8942207
2024,27664.745317,74960.0635788
2025,27002.6777882,72688.7362173
2026,28359.6984587,72311.2676181
2027,28668.5665216,71057.819598
2028,28900.2175689,69898.7841112
2029,29247.6941397,68654.2238076
2030,30502.5431941,68562.1060932
2031,30862.0803224,67372.301406
