year,Base case cost,Modeled transmission and interties
2021,493022.543315,1661755.67132
2022,503549.715058,1653647.6441
2023,510567.829554,1642573.85663
2024,516708.679737,1630703.98785
2025,523726.794233,1620457.70226
2026,532499.437352,1612307.91348
2027,539517.551848,1602850.79647
2028,544781.13772,1592443.33341
2029,552676.516527,1584587.44265
2030,559081.084203,1575237.97336
2031,566992.60898,1568482.31537
2032,575783.192065,1562556.44471
2033,584573.77515,1556968.76243
2034,592153.410565,1550587.6476
2035,597416.996436,1542607.05053
2036,608308.349479,1539605.45496
2037,613582.69933,1532258.56292
2038,622373.282415,1528246.58145
2039,629405.748883,1522827.22761
2040,639075.390276,1520245.38808
