year,Base case cost,Modeled residential ashp
2017,25835.0840897,156245.016034
2018,27980.216376,153511.638797
2019,30817.6081434,150681.360263
2020,31871.6993043,147666.88884
2021,33311.941754,145612.014175
2022,34654.1675875,143689.733919
2023,35043.5291676,141129.145494
2024,36155.0629572,139433.215522
2025,36553.0892402,136994.226989
2026,37823.2925659,135396.556754
2027,39044.4875836,133888.440521
2028,39390.6173242,131642.574048
2029,40636.3623333,130261.72191
2030,42591.3741722,129810.393424
2031,43179.8405686,127699.520127
