year,annotation,diesel generation efficiency
2002,,13.18
2003,,13.34
2004,,13.84
2005,,12.96
2006,,11.55
2007,,
2008,,
2009,,15.78
2010,,14.66
2011,,13.69
2012,,16.41
2013,,13.74
2014,start of forecast,14.62
2015,,14.62
2016,,14.62
2017,,14.62
2018,,14.62
2019,,14.62
2020,,14.62
2021,,14.62
2022,,14.62
2023,,14.62
2024,,14.62
2025,,14.62
2026,,14.62
2027,,14.62
2028,,14.62
2029,,14.62
2030,,14.62
2031,,14.62
2032,,14.62
2033,,14.62
2034,,14.62
2035,,14.62
2036,,14.62
2037,,14.62
2038,,14.62
2039,,14.62
2040,,14.62
