year,Base case cost,Modeled non-residential ashp
2017,158241.931454,179236.380012
2018,168533.771454,189589.776841
2019,182685.051454,204015.09228
2020,183071.817047,204300.875736
2021,193941.751454,214963.005756
2022,190842.067047,211615.558271
2023,193328.547047,213814.073322
2024,195193.407047,215367.307161
2025,197369.077047,217257.792313
2026,200166.367047,219812.890439
2027,202652.847047,222049.61593
2028,204517.707047,223640.164657
2029,207004.187047,225894.678268
2030,208558.237047,227175.010062
2031,211355.527047,229774.075893
