year,Base case cost,Modeled residential ashp
2017,158241.931454,186770.296873
2018,168533.771454,196997.90616
2019,182685.051454,211330.657853
2020,183071.817047,211473.880892
2021,193941.751454,221981.33856
2022,190842.067047,218476.499327
2023,193328.547047,220514.800006
2024,195193.407047,221907.270607
2025,197369.077047,223643.468892
2026,200166.367047,226053.03495
2027,202652.847047,228145.765601
2028,204517.707047,229591.390477
2029,207004.187047,231709.459933
2030,208558.237047,232849.867032
2031,211355.527047,235322.064163
