year,Base case cost,Modeled transmission and interties
2021,1587240.75632,2993341.81756
2022,1630037.57485,3018052.37662
2023,1661297.29706,3032427.82328
2024,1687636.78701,3042006.92158
2025,1717532.01466,3054273.08548
2026,1746243.91351,3067207.67092
2027,1770248.37799,3075531.46489
2028,1788282.99901,3077895.67254
2029,1820405.41536,3094170.32853
2030,1836316.37098,3095056.1151
2031,1865791.75414,3110783.78982
2032,1895436.80048,3125533.58673
2033,1926870.49934,3142556.01321
2034,1955399.7946,3158348.50295
2035,1976919.69995,3167016.91407
2036,2008248.43769,3186474.11704
2037,2029794.22387,3194315.53201
2038,2062011.53658,3213852.12578
2039,2081387.647,3221527.40059
2040,2112358.36667,3241867.09942
