year,Base case cost,Modeled non-residential ashp
2017,186202.524654,289336.137368
2018,200604.608438,303556.399765
2019,220874.207839,323570.102398
2020,231009.007539,333576.953714
2021,237409.933665,339897.070335
2022,242744.038771,345163.834186
2023,246477.912344,348850.568881
2024,249144.964897,351483.950807
2025,252878.838471,355170.685502
2026,257146.122555,359384.096583
2027,260879.996129,363070.831278
2028,263547.048682,365704.213204
2029,267814.332766,369917.624284
2030,270481.385318,372551.00621
2031,274748.669403,376764.41729
