year,Base case cost,Modeled non-residential ashp
2017,617610.988405,696416.453937
2018,694182.346401,761320.444362
2019,792680.724605,844848.934451
2020,842978.882808,886896.950135
2021,879082.511277,917014.557744
2022,906210.293923,938934.66587
2023,922479.6726,951516.332192
2024,934066.11572,959820.518196
2025,951000.240162,972763.353105
2026,972587.753546,990020.989639
2027,988802.577516,1002680.26988
2028,1005017.76149,1015371.03918
2029,1008761.15994,1015249.19393
2030,1008454.07818,1012220.24093
2031,1022803.19886,1022391.56757
