year,Base case diesel consumed,Modeled transmission and interties
2021,73526.1443359,0.0
2022,73959.6711304,0.0
2023,74393.1979248,0.0
2024,74826.7247192,0.0
2025,75260.2515137,0.0
2026,75693.7783081,0.0
2027,76127.3051025,0.0
2028,76560.831897,0.0
2029,76994.3586914,0.0
2030,77427.8854859,0.0
2031,77861.4122803,0.0
2032,78294.9390747,0.0
2033,78641.7605103,0.0
2034,78988.5819458,0.0
2035,79335.4033814,0.0
2036,79768.9301758,0.0
2037,80115.7516113,0.0
2038,80549.2784058,0.0
2039,80896.0998413,0.0
2040,81242.9212769,0.0
