year,Base case cost,Modeled transmission and interties
2021,261753.073836,2199185.2992
2022,270692.396337,2178589.92584
2023,277486.62826,2157186.21161
2024,283593.286686,2135740.17003
2025,289751.968328,2114961.64299
2026,298233.486534,2096395.32759
2027,305270.493461,2077663.28133
2028,310836.977502,2058737.50695
2029,318756.644982,2041330.44065
2030,324422.840186,2022935.40929
2031,332468.230437,2007405.78546
2032,341365.934366,1992543.48955
2033,349955.834271,1977918.76231
2034,358608.162034,1963847.20039
2035,364149.50152,1948603.30614
2036,373318.593223,1936653.8258
2037,379748.662638,1921818.18378
2038,389053.0147,1910911.07621
2039,396390.889222,1898560.49102
2040,406214.606384,1888362.34514
