year,Base case diesel consumed,Modeled transmission and interties
2021,94003.0072373,0.0
2022,94773.52369,0.0
2023,95312.885207,0.0
2024,96006.3500145,0.0
2025,97085.0730483,0.0
2026,97855.5895011,0.0
2027,98703.1575991,0.0
2028,99627.7773425,0.0
2029,100398.293795,0.0
2030,101245.861893,0.0
2031,102093.429991,0.0
2032,103018.049735,0.0
2033,103788.566187,0.0
2034,105098.444157,0.0
2035,106023.0639,0.0
2036,106947.683644,0.0
2037,107795.251742,0.0
2038,108796.92313,0.0
2039,110029.749455,0.0
2040,111339.627424,0.0
